idiom_word,idiom_meaning
অ আ ক খ,প্রাথমিক জ্ঞান
অকর্মার ঢেঁকি,নিতান্ত অলস ব্যক্তি
অকলের শত্রু,মূর্খ
অকস্মাৎ বজ্রপাত,অপ্রত্যাশিত বিপদ
অকাজের গোঁসাই,অনুচিত কাজ করতে মুখিয় থাকা ব্যক্তি
অকারণে হৈচৈ,অহেতুক চিন্তা
অকাল,দুর্ভিক্ষ
অকাল-অপক্ব,বোকা
অকালকুষ্মাণ্ড,অপদার্থ
অকালপক্ব,বয়সের তুলনায় বেশি পাকা
অকালবসন্ত,সময়ের আগেই সুখের সূচনা
অকালবোধন,অনুপযুক্ত সময়ে কোন শুভ কাজের সূচনা
অকালমৃত্যু,পরিণত বয়সের আগে মৃত্যু
অকালসন্ধ্যা,সময়ের আগেই কষ্টের সূচনা
অকালের তাল,অসময়ে প্রাপ্ত দ্রব্য
অকালের বাদল,অপ্রত্যাশিত বাধা
অকূল পাথার,কঠিন বিপদ
অকূলতারণ,বিপদে যে রক্ষা করে এমন ব্যক্তি
অকূলে কূল পাওয়া,নিরুপায় অবস্থা থেকে উদ্ধার পাওয়া
অকূলে ডোবা,ভীষণ বিপদ
অকূলদরিয়ায় ভাসা,কঠিন বিপদে পড়ে দিশেহারা হওয়া
অকূলের কূল,বিপদে ত্রাণকর্তা
অকূলের ভেলা,একান্ত নিরুপায় অবস্থার শেষ অবলম্বন
অক্কা পাওয়া,মারা যাওয়া
অক্টোপাস,চারিদিক থেকে আসা মারাত্মক আক্রমণ
অক্ষয়বট,অতিবৃদ্ধ ব্যক্তি
অক্ষরজ্ঞান,সামান্যতম জ্ঞান
অক্ষরে অক্ষরে,যথাযথভাবে
অক্সিজেন জোগানো,বিপদে ভরসা দেওয়া
অখদ্যে অবদ্যে,অকর্মণ্য
অখন-তখন অবস্থা,আশঙ্কাজনক অবস্থা
অগতির গতি,নিরাশ্রয়ের আশ্রয়
অগত্যা মধুসূদন,অনন্যোপায় হয়ে
অগভীর জলের পুঁটিমাছ,অল্প ধন
অগর-মগর করা,নানা অজুহাত দেখানো
অগস্ত্যযাত্রা,শেষযাত্রা
অগা,নির্বোধ
অগাধ জল,চরম বিপদ
অগাধ জলের মাছ,খুব চালাক লোক
অগ্নি-অবতার,অতি ক্রুদ্ধ ব্যক্তি
অগ্নিকন্যা,অতিতেজস্বী নারী
অগ্নিকাণ্ড,তুলকালাম কাণ্ড
অগ্নিগর্ভ,উত্তপ্ত
অগ্নিচক্ষু,কঠোর দৃষ্টি
অগ্নিদাতা,হিন্দুদের মধ্যে যে মৃতের মুখাগ্নি করে
অগ্নিপরীক্ষা,কঠিন পরীক্ষা
অগ্নিবর্ধক,ক্ষুধাবর্ধক
অগ্নিবর্ষণ,ক্রোধপ্রকাশ
অগ্নিবল,ক্ষুধা
অগ্নিবাণ,চরম আঘাত
অগ্নিবৃদ্ধি,ক্ষুধাবৃদ্ধি
অগ্নিমান্দ্য,অক্ষুধা
অগ্নিমূর্তি,অতিশয় ক্রুদ্ধ
অগ্নিমূল্য,অত্যন্ত দামি
অগ্নিযুগ,স্বদেশি আন্দোলনের সময়ের সশস্ত্র বিপ্লবের যুগ
অগ্নিশর্মা,অত্যন্ত কোপনস্বভাব ব্যক্তি
অগ্নিসংস্কার,মন্ত্র পড়ে শবদাহ
অগ্নিসাক্ষী,আগুনকে সাক্ষী রেখে শপথ
অগ্নিসেবন,আগুনের তাপ উপভোগ
অগ্নিতে ঘৃতাহূতি,উত্তেজনা বা ক্রোধবৃদ্ধি
অগ্নিতে বারিবর্ষণ,উত্তেজনা বা ক্রোধ হ্রাস
অগ্রদানী,হিন্দুদের শ্রাদ্ধে প্রেতের উদ্দেশ্যে প্রদত্ত তিলাদি দান গ্রহণকারী পতিত ব্রাহ্মণ
অগ্রদূত,পথপ্রদর্শক
অগ্রপশ্চাৎ,পরিণাম
অগ্রপাণি,আঙুল
অঘটনঘটনপটিয়সী,অসাধ্যসাধনে পটু নারী
অঘাকান্ত,নির্বোধ
অঙ্কলক্ষ্মী,পত্নী
অঙ্কুরে বিনষ্ট,শুরুতেই বিনাশ
অঙ্কুরোজ্ঞম,কোন কিছুর সূত্রপাত
অঙ্কুশ তাড়না,গোপনে তাড়না
অঙ্কস্থ,আয়ত্ত
অঙ্গ জল হওয়া,ভয় পাওয়া
অঙ্গ জ্বালা,অসন্তোষ
অঙ্গুলিত্রান,সেলাইয়ের সময় আঙুলে পরিধেয় বর্ম
অঙ্গুলি নির্দেশ,আঙুলের ইসারা
অচল পয়সা,মূল্যহীন
অচলায়তন,প্রগতিবর্জিত ও গোঁড়ামিপূর্ণ প্রতিষ্ঠান
অচিনপাখি,প্রাণ
অচন্দ্রচেতন,যৌনচেতনাশূন্য
অজগরবৃত্তি,আলসেমি
অজগ্রাম,নিতান্ত অপরিচিত ক্ষুদ্র পল্লী
অজমূর্খ,আকাট মূর্খ
অজাতশত্রু,যার শত্রু নেই
অজাতশ্মশ্রু,অল্পবয়স্ক
অজাযুদ্ধ,আড়ম্বর বেশি ফললাভ সামান্য
অজুহাত,বাহানা
অজ্ঞাতকুলশীল,সম্পূর্ণ অপরিচিত
