idiom_word,idiom_meaning,sentence,i_label,s_label,reason
অ আ ক খ,প্রাথমিক জ্ঞান,ছেলেটি 'অ আ ক খ' শিখতে ছয় মাস লেগেছে,1,1,উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অ আ ক খ,প্রাথমিক জ্ঞান,সবাইকে বিজ্ঞানের 'অ আ ক খ' জানা দরকার,1,1,উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অ আ ক খ,প্রাথমিক জ্ঞান,আমি এই বিষয়ে 'অ আ ক খ' জানি না,1,1,উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অ আ ক খ,প্রাথমিক জ্ঞান,ইউক্লিডের বই জ্যামিতির 'অ আ ক খ',1,1,উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অ আ ক খ,প্রাথমিক জ্ঞান,প্রত্যেক মানুষের কিছু 'অ আ ক খ' থাকা উচিত,1,1,উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান' এবং এটি সঠিকভাবে ব্যবহৃত হয়েছে।
অ আ ক খ,প্রাথমিক জ্ঞান,আকাশের 'অ আ ক খ' ভালো লাগে না,1,0,"উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান', কিন্তু এটি 'আক্ষরিক অক্ষর' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অ আ ক খ,প্রাথমিক জ্ঞান,লোকটি এত বোকা যে সে 'অ আ ক খ' বোঝে না,1,0,"উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান', কিন্তু এটি 'আক্ষরিক অর্থ' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অ আ ক খ,প্রাথমিক জ্ঞান,তিনি আমাকে 'অ আ ক খ' এর মতো সহজভাবে বুঝিয়েছেন,1,0,"উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান', কিন্তু এটি 'সহজ ব্যাখ্যা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অ আ ক খ,প্রাথমিক জ্ঞান,শিক্ষক ছাত্রদের 'অ আ ক খ' শেখাচ্ছেন,1,0,"উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান', কিন্তু এটি 'আক্ষরিক শিক্ষাদান' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
অ আ ক খ,প্রাথমিক জ্ঞান,'অ আ ক খ' কোন কাজে লাগে না,1,0,"উক্ত 'অ আ ক খ' বাগধারাটির অর্থ হলো 'প্রাথমিক জ্ঞান', কিন্তু এটি 'কাজের অকার্যকারিতা' বোঝাতে ব্যবহার করা হয়েছে, যা ভুল"
